Training_fraction,Training_percent,Training_rows,Model,Training_MAE_MW,Validation_MAE_MW
0.2,20,2553,Decision Tree,200.65926783321686,245.92838402666783
0.2,20,2553,Neural Network,33.39227185127269,313.48778491780683
0.4,40,5107,Decision Tree,190.88875742458646,222.5596478235279
0.4,40,5107,Neural Network,47.91841281904791,206.36593860532219
0.6,60,7660,Decision Tree,192.40833619277197,219.6204913232389
0.6,60,7660,Neural Network,47.04285801767386,443.607528565811
0.8,80,10214,Decision Tree,197.70190238527843,207.2069031220145
0.8,80,10214,Neural Network,59.15811309742594,199.6119781817041
1.0,100,12768,Decision Tree,237.66540799079527,252.12949063056428
1.0,100,12768,Neural Network,66.93835826862602,160.2955302537854
